Wavelength,BA RSR [watts]
1515,-0.000016
1516,0.000067
1517,0.000151
1518,0.000249
1519,0.000348
1520,0.000466
1521,0.000585
1522,0.000758
1523,0.000932
1524,0.00115
1525,0.001369
1526,0.001613
1527,0.001859
1528,0.002172
1529,0.002488
1530,0.002881
1531,0.003277
1532,0.003772
1533,0.004271
1534,0.004898
1535,0.005528
1536,0.006421
1537,0.007319
1538,0.008459
1539,0.009606
1540,0.010989
1541,0.012372
1542,0.014303
1543,0.016248
1544,0.019029
1545,0.021831
1546,0.02589
1547,0.029952
1548,0.035171
1549,0.040434
1550,0.047864
1551,0.055352
1552,0.065732
1553,0.076166
1554,0.089024
1555,0.101893
1556,0.12015
1557,0.138642
1558,0.163127
1559,0.187803
1560,0.220261
1561,0.252894
1562,0.291359
1563,0.329939
1564,0.375648
1565,0.42147
1566,0.47356
1567,0.525681
1568,0.578787
1569,0.631645
1570,0.676683
1571,0.721282
1572,0.75477
1573,0.788248
1574,0.821155
1575,0.854065
1576,0.87337
1577,0.89183
1578,0.899817
1579,0.907252
1580,0.913009
1581,0.918685
1582,0.922953
1583,0.927163
1584,0.92686
1585,0.926413
1586,0.925059
1587,0.923683
1588,0.923953
1589,0.924259
1590,0.922828
1591,0.921383
1592,0.922061
1593,0.922756
1594,0.924648
1595,0.926605
1596,0.934552
1597,0.942525
1598,0.944351
1599,0.945872
1600,0.946175
1601,0.946432
1602,0.947006
1603,0.947589
1604,0.950194
1605,0.952859
1606,0.951303
1607,0.94967
1608,0.953047
1609,0.956494
1610,0.959047
1611,0.961545
1612,0.960048
1613,0.958335
1614,0.959835
1615,0.96147
1616,0.960857
1617,0.960175
1618,0.960813
1619,0.961486
1620,0.964703
1621,0.967943
1622,0.969314
1623,0.970589
1624,0.973713
1625,0.976906
1626,0.9791
1627,0.981258
1628,0.981285
1629,0.981372
1630,0.988609
1631,0.995869
1632,0.998021
1633,1
1634,0.999848
1635,0.999642
1636,0.99659
1637,0.993439
1638,0.986217
1639,0.978989
1640,0.967125
1641,0.95512
1642,0.936199
1643,0.917239
1644,0.879424
1645,0.840967
1646,0.796545
1647,0.751893
1648,0.694313
1649,0.636542
1650,0.573232
1651,0.509946
1652,0.451966
1653,0.39403
1654,0.34275
1655,0.291752
1656,0.251309
1657,0.211153
1658,0.180823
1659,0.15054
1660,0.128463
1661,0.106664
1662,0.090735
1663,0.074941
1664,0.06379
1665,0.052752
1666,0.045028
1667,0.03731
1668,0.031821
1669,0.02635
1670,0.022504
1671,0.018724
1672,0.016045
1673,0.013394
1674,0.011483
1675,0.009587
1676,0.008227
1677,0.006882
1678,0.00591
1679,0.00494
1680,0.004257
1681,0.003576
1682,0.003055
1683,0.002541
1684,0.00216
1685,0.001781
1686,0.001512
1687,0.001244
1688,0.00104
1689,0.000837
1690,0.000677
1691,0.000517
1692,0.000409
1693,0.000301
1694,0.000206
1695,0.000112
1696,0.00004
1697,-0.000031
