Wavelength,BA RSR [watts]
2000,0.0097
2001,0.0102
2003,0.0112
2005,0.0121
2007,0.0131
2009,0.0141
2011,0.0151
2013,0.016
2015,0.017
2017,0.018
2018,0.0185
2020,0.0194
2022,0.0219
2024,0.0244
2026,0.0269
2028,0.0294
2030,0.0319
2032,0.0344
2034,0.0367
2035,0.0381
2037,0.0407
2039,0.0432
2041,0.0472
2043,0.0527
2045,0.0583
2047,0.0638
2049,0.0694
2051,0.075
2052,0.0778
2054,0.0834
2056,0.0891
2058,0.0947
2060,0.1004
2062,0.1136
2064,0.1267
2066,0.14
2067,0.1466
2069,0.1599
2071,0.1732
2073,0.1865
2075,0.1998
2077,0.2132
2079,0.2266
2081,0.2486
2083,0.2794
2085,0.3103
2086,0.3258
2088,0.3568
2090,0.3878
2092,0.419
2094,0.4502
2096,0.4814
2099,0.5285
2100,0.5442
2102,0.5744
2104,0.6048
2106,0.6353
2108,0.6659
2110,0.6967
2112,0.7276
2114,0.7587
2116,0.7891
2117,0.8056
2119,0.837
2121,0.8578
2123,0.8676
2125,0.8774
2127,0.8873
2129,0.8971
2131,0.907
2133,0.917
2135,0.9269
2136,0.9319
2138,0.9419
2140,0.9519
2142,0.9518
2144,0.9517
2146,0.9515
2148,0.9514
2150,0.9512
2151,0.9512
2153,0.951
2155,0.9509
2157,0.9507
2159,0.9505
2161,0.9526
2163,0.957
2165,0.9614
2166,0.9636
2168,0.968
2170,0.9724
2172,0.9769
2174,0.9813
2176,0.9857
2178,0.9902
2180,0.9947
2182,0.9952
2183,0.9955
2185,0.996
2187,0.9966
2189,0.9971
2191,0.9976
2193,0.9982
2195,0.9987
2197,0.9992
2199,0.9997
2201,0.9996
2203,0.9987
2205,0.9978
2207,0.997
2209,0.9961
2210,0.9956
2212,0.9948
2214,0.9939
2216,0.993
2218,0.9921
2220,0.9912
2222,0.9857
2223,0.9829
2226,0.9746
2227,0.9718
2229,0.9663
2231,0.9608
2233,0.9552
2235,0.9497
2237,0.9442
2239,0.9359
2241,0.9357
2242,0.9355
2244,0.9352
2246,0.9348
2248,0.9345
2250,0.9342
2252,0.9338
2254,0.9335
2256,0.9331
2258,0.9328
2259,0.9326
2261,0.9302
2263,0.9258
2265,0.9213
2267,0.9169
2269,0.9125
2271,0.9081
2273,0.9037
2274,0.9015
2276,0.8971
2278,0.8927
2280,0.8884
2282,0.8744
2284,0.8603
2286,0.8462
2288,0.8322
2290,0.8182
2292,0.8043
2293,0.7973
2295,0.7834
2297,0.7695
2299,0.7557
2301,0.7523
2303,0.7598
2305,0.7673
2307,0.7748
2309,0.7822
2310,0.786
2312,0.7935
2314,0.8009
2316,0.8084
2318,0.8159
2320,0.8233
2322,0.8162
2323,0.8126
2325,0.8053
2327,0.798
2329,0.7907
2331,0.7834
2333,0.7761
2335,0.7688
2337,0.7615
2339,0.7542
2340,0.7505
2342,0.6955
2344,0.64
2346,0.5845
2348,0.5288
2350,0.4732
2352,0.4175
2354,0.3618
2355,0.3339
2357,0.2781
2359,0.2223
2361,0.1856
2363,0.1692
2365,0.1526
2367,0.1361
2369,0.1195
2371,0.1028
2373,0.0862
2374,0.0778
2376,0.0611
2378,0.0443
2380,0.0274
2382,0.0245
2384,0.0218
2386,0.0191
2390,0.0137
2395,0.0069
2400,0
